,index,full_upc_code,product_module_descr,container_descr,class
33,1204,009800005604,BREATH MINTS,,heavy_plastic
34,1206,009800006175,BREATH MINTS,,heavy_plastic
35,1211,009800006304,BREATH MINTS,,heavy_plastic
36,1212,009800006335,BREATH MINTS,,heavy_plastic
37,1219,009800007394,BREATH MINTS,,heavy_plastic
38,1220,009800007608,BREATH MINTS,,heavy_plastic
39,1221,009800007615,BREATH MINTS,,heavy_plastic
40,1222,009800007639,BREATH MINTS,,heavy_plastic
41,1223,009800007677,BREATH MINTS,,heavy_plastic
42,1234,009800100118,BREATH MINTS,,heavy_plastic
43,1235,009800100125,BREATH MINTS,,heavy_plastic
44,1620,010343907560,INK JET AND TONER CARTRIDGE,,heavy_plastic
45,1634,010343917965,INK JET AND TONER CARTRIDGE,,heavy_plastic
46,1635,010343919174,INK JET AND TONER CARTRIDGE,,heavy_plastic
47,1671,010343942097,INK JET AND TONER CARTRIDGE,,heavy_plastic
48,1765,010591024873,DISHWASHING ACCESSORY,,heavy_plastic
49,1782,010591050223,DISHWASHING ACCESSORY,,heavy_plastic
50,2381,011111009424,LIQUID SOAP,REGULAR,heavy_plastic
51,2383,011111009448,LIQUID SOAP,REGULAR,heavy_plastic
52,2384,011111009455,LIQUID SOAP,REGULAR,heavy_plastic
53,2385,011111009462,LIQUID SOAP,REGULAR,heavy_plastic
54,2507,011111024656,LIQUID SOAP,REGULAR,heavy_plastic
55,2742,011115395158,MARGARINE AND SPREADS,TUB,heavy_plastic
56,3025,011151800326,SYRUP,,heavy_plastic
57,3026,011151800647,SYRUP,,heavy_plastic
58,3216,011169100012,BABY ACCESSORY,,heavy_plastic
59,3787,011225658600,HOUSEHOLD SCISSOR,,heavy_plastic
60,4170,011509060228,FEMININE HYGIENE,,heavy_plastic
61,4171,011509060273,FEMININE HYGIENE,,heavy_plastic
62,4175,011509060334,FEMININE HYGIENE-DOUCHES,,heavy_plastic
63,4342,011914001564,FLOWER AND PLANT ARTIFICIAL,,heavy_plastic
64,4359,012000001291,CARBONATED SOFT DRINKS,NON REFILLABLE BOTTLES PLS,heavy_plastic
65,4397,012000005596,CARBONATED SOFT DRINKS,NON REFILLABLE BOTTLES PLS,heavy_plastic
66,4457,012000021367,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
67,4458,012000021381,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
68,4920,012044000236,PERSONAL DEODORANT,,heavy_plastic
69,4921,012044000243,PERSONAL DEODORANT,,heavy_plastic
70,4922,012044000250,PERSONAL DEODORANT,,heavy_plastic
71,4929,012044011133,PERSONAL DEODORANT,,heavy_plastic
72,5060,012044389706,PERSONAL DEODORANT,,heavy_plastic
73,5367,012502542575,INK JET AND TONER CARTRIDGE,,heavy_plastic
74,5370,012502590255,INK JET AND TONER CARTRIDGE,,heavy_plastic
75,5371,012502590262,INK JET AND TONER CARTRIDGE,,heavy_plastic
76,5377,012502626770,INK JET AND TONER CARTRIDGE,,heavy_plastic
77,5391,012502638919,INK JET AND TONER CARTRIDGE,,heavy_plastic
78,5398,012502649274,INK JET AND TONER CARTRIDGE,,heavy_plastic
79,5443,012511451240,SYRUP,,heavy_plastic
80,5444,012511451257,SYRUP,,heavy_plastic
81,6168,012914130605,BABY ACCESSORY,,heavy_plastic
82,6174,012914135433,BABY ACCESSORY,,heavy_plastic
83,6179,012914144640,BABY ACCESSORY,,heavy_plastic
84,6314,013000000819,CATSUP,PLASTIC,heavy_plastic
85,6319,013000001038,CATSUP,PLASTIC,heavy_plastic
86,6323,013000001151,CATSUP,GLASS,heavy_plastic
87,6324,013000001212,CATSUP,PLASTIC,heavy_plastic
88,6325,013000001243,CATSUP,PLASTIC,heavy_plastic
89,6338,013000002523,CATSUP,PLASTIC,heavy_plastic
90,6346,013000004640,CATSUP,PLASTIC,heavy_plastic
91,6347,013000004664,CATSUP,PLASTIC,heavy_plastic
92,6357,013000006057,CATSUP,PLASTIC,heavy_plastic
93,6363,013000006408,CATSUP,PLASTIC,heavy_plastic
94,6366,013000006996,CATSUP,PLASTIC,heavy_plastic
95,6369,013000007351,CATSUP,PLASTIC,heavy_plastic
96,6370,013000007399,CATSUP,PLASTIC,heavy_plastic
97,6374,013000007993,CATSUP,PLASTIC,heavy_plastic
98,6380,013000008976,CATSUP,PLASTIC,heavy_plastic
99,6381,013000008990,CATSUP,PLASTIC,heavy_plastic
100,6397,013000011105,CATSUP,PLASTIC,heavy_plastic
101,6398,013000011112,CATSUP,PLASTIC,heavy_plastic
102,6399,013000011143,CATSUP,PLASTIC,heavy_plastic
103,6435,013000307550,CATSUP,PLASTIC,heavy_plastic
104,6445,013000626057,CATSUP,PLASTIC,heavy_plastic
105,6446,013000626095,CATSUP,PLASTIC,heavy_plastic
106,6464,013000840125,CATSUP,PLASTIC,heavy_plastic
107,7064,013308943009,DISHWASHING ACCESSORY,,heavy_plastic
108,7221,013562002580,CATSUP,PLASTIC,heavy_plastic
109,7384,013600031183,SALT-THAWING,,heavy_plastic
110,7385,013600031190,SALT-THAWING,,heavy_plastic
111,7901,013803051254,INK JET AND TONER CARTRIDGE,,heavy_plastic
112,8349,014100074120,COOKIES,,heavy_plastic
113,8352,014100074359,COOKIES,,heavy_plastic
114,8377,014100078609,COOKIES,,heavy_plastic
115,8380,014100078845,COOKIES,,heavy_plastic
116,8644,014400107207,HOME CANNING SUPPLY,,heavy_plastic
117,8651,014400107702,HOME CANNING SUPPLY,,heavy_plastic
118,8652,014400107900,HOME CANNING SUPPLY,,heavy_plastic
119,9118,014708612229,BABY ACCESSORY,,heavy_plastic
120,9162,014800001792,CANNED FRUIT - APPLE SAUCE,,heavy_plastic
121,9163,014800001808,CANNED FRUIT - APPLE SAUCE,,heavy_plastic
122,9164,014800001815,CANNED FRUIT - APPLE SAUCE,,heavy_plastic
123,9165,014800001822,CANNED FRUIT - APPLE SAUCE,,heavy_plastic
124,9166,014800001839,CANNED FRUIT - APPLE SAUCE,,heavy_plastic
125,9167,014800001846,CANNED FRUIT - APPLE SAUCE,,heavy_plastic
126,9789,015414541445,JAMS,REGULAR,heavy_plastic
127,9982,015594010106,FEMININE HYGIENE,,heavy_plastic
128,9983,015594010182,FEMININE HYGIENE,,heavy_plastic
129,9984,015594010229,FEMININE HYGIENE,,heavy_plastic
130,10674,016000141544,CEREAL,,heavy_plastic
131,10675,016000141551,CEREAL,,heavy_plastic
132,10676,016000141568,CEREAL,,heavy_plastic
133,11477,016200330687,SUGAR - BROWN,SHAKER CANISTER,heavy_plastic
134,11988,016600001040,SYRUP,,heavy_plastic
135,12228,017000010168,LIQUID SOAP,REGULAR,heavy_plastic
136,12242,017000026602,LIQUID SOAP,REGULAR,heavy_plastic
137,12249,017000029344,LIQUID SOAP,REGULAR,heavy_plastic
138,12250,017000029863,LIQUID SOAP,REFILL,heavy_plastic
139,12251,017000030166,LIQUID SOAP,REGULAR,heavy_plastic
140,12276,017000068107,PERSONAL DEODORANT,,heavy_plastic
141,12278,017000068121,PERSONAL DEODORANT,,heavy_plastic
142,12279,017000068138,PERSONAL DEODORANT,,heavy_plastic
143,12281,017000068176,PERSONAL DEODORANT,,heavy_plastic
144,12301,017000079738,LIQUID SOAP,REGULAR,heavy_plastic
145,12708,017077201162,CHEESE - FARMERS,,heavy_plastic
146,12709,017077300063,YOGURT,,heavy_plastic
147,12711,017077302067,YOGURT,,heavy_plastic
148,14056,018000117758,COOKIE DOUGH,,heavy_plastic
149,14977,018306000051,ICE,,heavy_plastic
150,15551,019045001149,PERSONAL DEODORANT,,heavy_plastic
151,15553,019045001743,PERSONAL DEODORANT,,heavy_plastic
152,15556,019045010264,PERSONAL DEODORANT,,heavy_plastic
153,15557,019045010271,PERSONAL DEODORANT,,heavy_plastic
154,15558,019045010288,PERSONAL DEODORANT,,heavy_plastic
155,15562,019045053834,PERSONAL DEODORANT,,heavy_plastic
156,15816,019200022019,DISINFECTANTS,,heavy_plastic
157,15834,019200611039,DISINFECTANTS,,heavy_plastic
158,15847,019200771825,DISINFECTANTS,,heavy_plastic
159,15849,019200779258,DISINFECTANTS,,heavy_plastic
160,15859,019200788496,DISINFECTANTS,,heavy_plastic
161,15875,019200802963,DISINFECTANTS,,heavy_plastic
162,15882,019200811439,DISINFECTANTS,,heavy_plastic
163,15883,019200811453,DISINFECTANTS,,heavy_plastic
164,15884,019200811460,DISINFECTANTS,,heavy_plastic
165,15887,019200817004,DISINFECTANTS,,heavy_plastic
166,15902,019200842518,DISINFECTANTS,,heavy_plastic
167,15922,019200893466,DISINFECTANTS,,heavy_plastic
168,15958,019200958714,DISINFECTANTS,,heavy_plastic
169,15959,019200958721,DISINFECTANTS,,heavy_plastic
170,15970,019200967280,DISINFECTANTS,,heavy_plastic
171,15976,019200971812,DISINFECTANTS,,heavy_plastic
172,15987,019200983549,DISINFECTANTS,,heavy_plastic
173,15988,019200983556,DISINFECTANTS,,heavy_plastic
174,16889,020066331160,LAUNDRY TREATMENT AIDS,,heavy_plastic
175,16963,020188070008,CHEESE - RICOTTA,CUP,heavy_plastic
176,18196,020886040808,STORAGE AND SPACE MANAGEMENT,,heavy_plastic
177,18277,021000008292,PUDDING-REFRIGERATED,,heavy_plastic
178,18279,021000008339,PUDDING-REFRIGERATED,,heavy_plastic
179,18290,021000008759,PUDDING-REFRIGERATED,,heavy_plastic
180,18719,021000074143,PIE & PASTRY FILLING - CANNED,,heavy_plastic
181,18777,021000300884,CHEESE - RICOTTA,CUP,heavy_plastic
182,18849,021000623167,PIE & PASTRY FILLING - CANNED,,heavy_plastic
183,19257,021248140587,SALT - TABLE,BOTTLE,heavy_plastic
184,19393,021331334411,MUSICAL INSTRUMENTS AND ACCESSORIES,,heavy_plastic
185,19451,021400058606,MOTOR OIL FLUID AND LUBE,,heavy_plastic
186,19453,021400058637,MOTOR OIL FLUID AND LUBE,,heavy_plastic
187,19454,021400058651,MOTOR OIL FLUID AND LUBE,,heavy_plastic
188,19455,021400058767,MOTOR OIL FLUID AND LUBE,,heavy_plastic
189,19458,021400402706,MOTOR OIL FLUID AND LUBE,,heavy_plastic
190,19463,021400560055,MOTOR OIL FLUID AND LUBE,,heavy_plastic
191,19472,021400577602,MOTOR OIL FLUID AND LUBE,,heavy_plastic
192,19475,021400756793,MOTOR OIL FLUID AND LUBE,,heavy_plastic
193,19576,021500000666,GARLIC SPREADS,,heavy_plastic
194,19646,021634400097,HAIR TREATMENTS-ETHNIC,,heavy_plastic
195,20172,022000011480,BUBBLE GUM,,heavy_plastic
196,20236,022000016935,BUBBLE GUM,,heavy_plastic
197,20358,022000041159,BUBBLE GUM,,heavy_plastic
198,20625,022110079806,BUBBLE GUM,,heavy_plastic
199,20661,022200004916,PERSONAL DEODORANT,,heavy_plastic
200,20673,022200930086,PERSONAL DEODORANT,,heavy_plastic
201,20683,022200950367,PERSONAL DEODORANT,,heavy_plastic
202,20687,022200954402,PERSONAL DEODORANT,,heavy_plastic
203,21283,022600000051,FEMININE HYGIENE,,heavy_plastic
204,21284,022600000068,FEMININE HYGIENE,,heavy_plastic
205,21299,022600001041,FEMININE HYGIENE,,heavy_plastic
206,23167,023167017186,EGG COLORING KITS/DYE,,heavy_plastic
207,23368,023400061761,INSECTICIDE,,heavy_plastic
208,23420,023400419104,INSECTICIDE,,heavy_plastic
209,23422,023400519101,INSECTICIDE,,heavy_plastic
210,23424,023400519606,INSECTICIDE,,heavy_plastic
211,23426,023400519637,INSECTICIDE,,heavy_plastic
212,23427,023400559015,INSECTICIDE,,heavy_plastic
213,23430,023400997749,INSECTICIDE,,heavy_plastic
214,23432,023400998913,INSECTICIDE,,heavy_plastic
215,23629,023545201794,SUGAR - BROWN,WRAP,heavy_plastic
216,23883,023601071262,HOUSEHOLD APPLIANCE ACCESSORIES,,heavy_plastic
217,23887,023601071378,HOUSEHOLD APPLIANCE ACCESSORIES,,heavy_plastic
218,24404,024000002239,SYRUP,,heavy_plastic
219,24494,024000052272,SYRUP,,heavy_plastic
220,24638,024000250432,CEREAL,,heavy_plastic
221,24640,024000250456,CEREAL,,heavy_plastic
222,24780,024024000457,FRUIT PUNCH BASES & SYRUPS,GLASS,heavy_plastic
223,24786,024024107101,FRUIT PUNCH BASES & SYRUPS,PLASTIC,heavy_plastic
224,25403,024182300130,CONFECTIONERY PASTE,,heavy_plastic
225,25441,024200041687,DETERGENTS-PACKAGED,TUB,heavy_plastic
226,25442,024200041724,DETERGENTS-PACKAGED,TUB,heavy_plastic
227,25443,024200041755,DETERGENTS-PACKAGED,TUB,heavy_plastic
228,25444,024200041786,DETERGENTS-PACKAGED,TUB,heavy_plastic
229,25461,024200044961,DETERGENTS-PACKAGED,TUB,heavy_plastic
230,25463,024200046651,DETERGENTS-PACKAGED,TUB,heavy_plastic
231,26368,024600010931,SALT - TABLE,CANISTER,heavy_plastic
232,26369,024600010979,SALT - TABLE,CANISTER,heavy_plastic
233,26370,024600010986,SALT - TABLE,SHAKER,heavy_plastic
234,26378,024600011983,SALT - TABLE,JAR,heavy_plastic
235,26394,024600078344,SALT-THAWING,,heavy_plastic
236,26395,024600078351,SALT-THAWING,,heavy_plastic
237,26396,024600078702,SALT-THAWING,,heavy_plastic
238,26397,024600078979,SALT-THAWING,,heavy_plastic
239,26579,025000052224,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
240,27236,025215190049,HOME ELECTRONIC CLEANING PRODUCT,,heavy_plastic
241,27566,025500003658,COFFEE,PLASTIC CANISTER,heavy_plastic
242,28509,025947150021,DISHWASHING ACCESSORY,,heavy_plastic
243,28574,025947449002,DISHWASHING ACCESSORY,,heavy_plastic
244,28575,025947449101,DISHWASHING ACCESSORY,,heavy_plastic
245,28576,025947449200,DISHWASHING ACCESSORY,,heavy_plastic
246,28695,026000183215,HOBBY SUPPLIES,,heavy_plastic
247,28840,026107087669,BABY ACCESSORY,,heavy_plastic
248,28847,026169006325,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
249,28873,026169034489,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
250,28877,026169036223,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
251,28879,026169036247,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
252,28887,026169037329,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
253,28893,026169038883,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
254,28910,026169042972,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
255,28911,026169044624,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
256,28918,026169046239,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
257,28920,026169048479,COLOGNE & PERFUME-WOMEN'S,,heavy_plastic
258,29470,027000002643,CATSUP,PLASTIC,heavy_plastic
259,29471,027000002650,CATSUP,PLASTIC,heavy_plastic
260,29472,027000002667,CATSUP,PLASTIC,heavy_plastic
261,29475,027000009338,MARGARINE AND SPREADS,TUB,heavy_plastic
262,29519,027000381434,CATSUP,PLASTIC,heavy_plastic
263,29522,027000382493,CATSUP,PLASTIC,heavy_plastic
264,29926,027200002061,SMOKING ACCESSORY,,heavy_plastic
265,30207,027400000249,MARGARINE AND SPREADS,TUB,heavy_plastic
266,30208,027400000256,MARGARINE AND SPREADS,TUB,heavy_plastic
267,30210,027400103070,MARGARINE AND SPREADS,TUB,heavy_plastic
268,30214,027400264955,MARGARINE AND SPREADS,TUB,heavy_plastic
269,30215,027400264979,MARGARINE AND SPREADS,TUB,heavy_plastic
270,30216,027400264993,MARGARINE AND SPREADS,TUB,heavy_plastic
271,30220,027400694028,MARGARINE AND SPREADS,TUB,heavy_plastic
272,30222,027400800245,MARGARINE AND SPREADS,TUB,heavy_plastic
273,30223,027400800252,MARGARINE AND SPREADS,TUB,heavy_plastic
274,31051,028000245009,SYRUP-CHOCOLATE,SQUEEZE BOTTLE,heavy_plastic
275,31068,028000328580,MILK-SHELF STABLE,PLASTIC,heavy_plastic
276,31087,028000452995,MILK-SHELF STABLE,PLASTIC,heavy_plastic
277,31119,028000515751,MILK-SHELF STABLE,PLASTIC,heavy_plastic
278,31146,028000616502,MILK-SHELF STABLE,PLASTIC,heavy_plastic
279,31159,028000678937,MILK-SHELF STABLE,PLASTIC,heavy_plastic
280,31173,028000720292,MILK-SHELF STABLE,PLASTIC,heavy_plastic
281,31187,028000772123,MILK-SHELF STABLE,PLASTIC,heavy_plastic
282,31191,028000781873,MILK-SHELF STABLE,PLASTIC,heavy_plastic
283,31221,028000895037,MILK-SHELF STABLE,PLASTIC,heavy_plastic
284,31223,028000896256,MILK-SHELF STABLE,PLASTIC,heavy_plastic
285,31756,028300004047,FLAVORED MILK,PLASTIC,heavy_plastic
286,31757,028300004054,FLAVORED MILK,PLASTIC,heavy_plastic
287,31839,028400000031,DIP - CANNED,,heavy_plastic
288,32867,028484460400,GLOVES,,heavy_plastic
289,32868,028484460509,GLOVES,,heavy_plastic
290,32870,028484461001,GLOVES,,heavy_plastic
291,32871,028484461025,GLOVES,,heavy_plastic
292,32892,028484770288,STORAGE AND SPACE MANAGEMENT,,heavy_plastic
293,32898,028484855121,BATHROOM ACCESSORY,,heavy_plastic
294,33078,028882501521,MOTOR OIL FLUID AND LUBE,,heavy_plastic
295,33079,028882719056,MOTOR OIL FLUID AND LUBE,,heavy_plastic
296,33246,029000008038,MARGARINE AND SPREADS,TUB,heavy_plastic
297,33419,029000073296,NUTS - CANS,,heavy_plastic
298,33447,029000651500,MARGARINE AND SPREADS,SQUEEZE BOTTLE,heavy_plastic
299,33586,029276060617,HOBBY SUPPLIES,,heavy_plastic
300,33587,029276061621,HOBBY SUPPLIES,,heavy_plastic
301,33934,029700321413,DEHYDRATED POTATOES,,heavy_plastic
302,33935,029700321451,DEHYDRATED POTATOES,,heavy_plastic
303,33937,029700321482,DEHYDRATED POTATOES,,heavy_plastic
304,33938,029700341411,DEHYDRATED POTATOES,,heavy_plastic
305,33944,029700554996,DEHYDRATED POTATOES,,heavy_plastic
306,34207,030000056202,SYRUP,,heavy_plastic
307,34208,030000058008,SYRUP,,heavy_plastic
308,34210,030000059401,SYRUP,,heavy_plastic
309,34211,030000059500,SYRUP,,heavy_plastic
310,34212,030000059609,SYRUP,,heavy_plastic
311,34213,030000059708,SYRUP,,heavy_plastic
312,34262,030000223611,SYRUP,,heavy_plastic
313,34270,030000310694,SYRUP,,heavy_plastic
314,35424,030576000081,SYRUP,,heavy_plastic
315,35426,030576120086,SYRUP,,heavy_plastic
316,35427,030576120178,SYRUP,,heavy_plastic
317,35582,030734061213,SMOKING ACCESSORY,,heavy_plastic
318,36337,031142001839,CHEESE - RICOTTA,CUP,heavy_plastic
319,36480,031200000583,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
320,36481,031200000613,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
321,36482,031200000668,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
322,36487,031200001917,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
323,36517,031200020215,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
324,36518,031200020246,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
325,36519,031200020253,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
326,36521,031200020710,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
327,36523,031200020857,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
328,36527,031200021625,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
329,36528,031200021632,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
330,36538,031200024749,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
331,36541,031200025845,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
332,36543,031200026217,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
333,36544,031200026705,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
334,36545,031200026804,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
335,36548,031200026972,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
336,36553,031200027702,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
337,36555,031200027856,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
338,36558,031200028211,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
339,36559,031200028228,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
340,36560,031200028242,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
341,36561,031200028761,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
342,36563,031200028990,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
343,36586,031200034663,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
344,36589,031200034694,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
345,36591,031200034724,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
346,36597,031200200075,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
347,36598,031200200266,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
348,36599,031200200310,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
349,36600,031200200426,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
350,36601,031200200433,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
351,36602,031200200532,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
352,36603,031200200563,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
353,36608,031200201577,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
354,36611,031200201683,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
355,36613,031200202970,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
356,36614,031200202987,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
357,36615,031200202994,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
358,36616,031200203007,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
359,36617,031200203021,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
360,36618,031200203090,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
361,36619,031200203106,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
362,36620,031200203113,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
363,36621,031200210074,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
364,36624,031200220073,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
365,36625,031200230270,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
366,36628,031200239273,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
367,36633,031200261076,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
368,36635,031200270153,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
369,36636,031200270160,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
370,36638,031200281272,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
371,36639,031200281302,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
372,36645,031200330116,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
373,36646,031200330123,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
374,36647,031200330130,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
375,36648,031200330147,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
376,36649,031200330277,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
377,36650,031200342270,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
378,36651,031200343277,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
379,36652,031200350275,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
380,36653,031200370075,FRUIT DRINKS & JUICES-CRANBERRY,PLASTIC,heavy_plastic
381,36675,031259000701,BOURBON,,heavy_plastic
382,37606,031600111117,FOOTWEAR CARE PRODUCT,,heavy_plastic
383,37607,031600111131,FOOTWEAR CARE PRODUCT,,heavy_plastic
384,37608,031600111148,FOOTWEAR CARE PRODUCT,,heavy_plastic
385,37610,031600113111,FOOTWEAR CARE PRODUCT,,heavy_plastic
386,37611,031600113135,FOOTWEAR CARE PRODUCT,,heavy_plastic
387,37612,031600113142,FOOTWEAR CARE PRODUCT,,heavy_plastic
388,37613,031600115115,FOOTWEAR CARE PRODUCT,,heavy_plastic
389,37614,031600115122,FOOTWEAR CARE PRODUCT,,heavy_plastic
390,37615,031600116112,FOOTWEAR CARE PRODUCT,,heavy_plastic
391,37616,031600116129,FOOTWEAR CARE PRODUCT,,heavy_plastic
392,37617,031600116150,FOOTWEAR CARE PRODUCT,,heavy_plastic
